Number of Fairs Attended,Internship Applications,Job Applications,Fellowship Applications,Graduate School,Cooperative Education,Experiential Learning,On Campus Student Employment,Volunteer,First Gen,College_fds_2024,Number of Internships,Career Readiness,Alignment,Q10.4_fds_2024,Q10.5_fds_2024
4,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
1,,,,,,,,,,,,,,,
1,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
1,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,
3,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,False,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
7,132.0,52.0,0.0,0.0,0.0,8.0,0.0,0.0,False,,,,,,
1,,,,,,,,,,,,,,,
1,270.0,153.0,0.0,0.0,0.0,0.0,3.0,0.0,False,,,,,,
1,,,,,,,,,,,,,,,
3,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
1,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
2,0.0,72.0,0.0,0.0,0.0,4.0,0.0,0.0,True,,,,,,
1,,,,,,,,,,,,,,,
21,0.0,4.0,0.0,0.0,0.0,0.0,20.0,0.0,False,College and Graduate School of Arts & Sciences,1,,,,
3,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
2,34.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
24,120.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,False,College and Graduate School of Arts & Sciences,2,8.0,10.0,8.0,8.0
1,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
1,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,
1,12.0,111.0,0.0,0.0,0.0,0.0,3.0,0.0,True,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
2,16.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
