,avg_unemployment,survey_year,Auth Identifier,Outcome,number_of_internships,primary_major,Gender,primary_college,Outcome_binary,Total Unique Fairs Attended,total_apps,Educations Cumulative Gpa,ipp_flag,Internship_binary,binary_cont_education,binary_still_looking,fairs_above_avg,apps_above_avg
3600,3.6,2023,xs5qy,Working,0,Engineering - Electrical Engineering,Male,School of Engineering & Applied Science,1,1,0,,0,0,0,0,0,0
3601,3.6,2023,hi3njj,Working,2,East Asian Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,4,358,,0,1,0,0,1,1
3602,3.6,2023,amn3zwp,Continuing Education,1,Computer Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,0,0,30,4.0,0,1,1,0,0,0
3603,3.6,2023,efg2kgw,Working,2,Computer Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,0,24,3.97,0,1,0,0,0,0
3604,3.6,2023,zeo5mxm,Still Looking,0,Foreign Affairs,Female,College and Graduate School of Arts & Sciences,0,4,55,,0,0,0,1,1,1
3605,3.6,2023,zeo5mxm,Still Looking,0,Foreign Affairs,Female,College and Graduate School of Arts & Sciences,0,4,55,3.56,0,0,0,1,1,1
3606,3.6,2023,zeo5mxm,Still Looking,0,Foreign Affairs,Female,College and Graduate School of Arts & Sciences,0,4,55,4.38,0,0,0,1,1,1
3607,3.6,2023,whd8xgp,Continuing Education,0,Architecture - Urban & Environmental Planning,Female,School of Architecture,0,0,0,4.32,0,0,1,0,0,0
3608,3.6,2023,whd8xgp,Continuing Education,0,Architecture - Urban & Environmental Planning,Female,School of Architecture,0,0,0,,0,0,1,0,0,0
3609,3.6,2023,mmm3dqt,Continuing Education,2,Neuroscience - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,0,10,,0,1,1,0,0,0
3610,3.6,2023,mmm3dqt,Continuing Education,2,Neuroscience - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,0,10,3.92,0,1,1,0,0,0
3611,3.6,2023,sfa2xs,Working,3,Engineering - Biomedical Engineering,Female,School of Engineering & Applied Science,1,3,96,,0,1,0,0,1,1
3612,3.6,2023,axe5fu,Working,1,Education - Counselor Education,Female,School of Education and Human Development,1,0,1,,0,1,0,0,0,0
3613,3.6,2023,neh9cg,Not Seeking,2,Engineering - Chemical Engineering,Male,School of Engineering & Applied Science,0,0,0,,0,1,0,0,0,0
3614,3.6,2023,gmt4np,Working,3,Media Studies,Female,College and Graduate School of Arts & Sciences,1,3,40,,0,1,0,0,1,0
3615,3.6,2023,cjo4aqn,Working,2,Government,Male,College and Graduate School of Arts & Sciences,1,0,11,3.81,0,1,0,0,0,0
3616,3.6,2023,sat8ac,Continuing Education,1,Religious Studies,Male,College and Graduate School of Arts & Sciences,0,0,3,,0,1,1,0,0,0
3617,3.6,2023,sat8ac,Continuing Education,1,Religious Studies,Male,College and Graduate School of Arts & Sciences,0,0,3,3.78,0,1,1,0,0,0
3618,3.6,2023,srk5fb,Still Looking,2,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,0,4,3.51,0,1,0,1,0,0
3619,3.6,2023,ef7vh,Working,1,Engineering - Systems Engineering,Female,School of Engineering & Applied Science,1,2,27,3.97,0,1,0,0,1,0
3620,3.6,2023,all5fj,Working,2,Education - English Education,Female,School of Education and Human Development,1,1,0,3.7,0,1,0,0,0,0
3621,3.6,2023,all5fj,Working,2,Education - English Education,Female,School of Education and Human Development,1,1,0,,0,1,0,0,0,0
3622,3.6,2023,erp2zt,Continuing Education,0,English,Female,College and Graduate School of Arts & Sciences,0,1,12,,0,0,1,0,0,0
3623,3.6,2023,shl6nj,Continuing Education,1,Statistics,Female,College and Graduate School of Arts & Sciences,0,0,2,,0,1,1,0,0,0
3624,3.6,2023,cbo9hrx,Working,2,Computer Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,1,0,250,3.8,0,1,0,0,0,1
3625,3.6,2023,nhu2xs,Working,1,Engineering - Electrical Engineering,Male,School of Engineering & Applied Science,1,3,54,3.93,0,1,0,0,1,1
3626,3.6,2023,nhu2xs,Working,1,Engineering - Electrical Engineering,Male,School of Engineering & Applied Science,1,3,54,,0,1,0,0,1,1
3627,3.6,2023,ufu2rg,Military,0,Data Science,Female,School of Data Science,0,1,0,,0,0,0,0,0,0
3628,3.6,2023,qdg9xwb,Continuing Education,1,Government,Female,College and Graduate School of Arts & Sciences,0,7,63,3.68,0,1,1,0,1,1
3629,3.6,2023,qdg9xwb,Continuing Education,1,Government,Female,College and Graduate School of Arts & Sciences,0,7,63,3.71,0,1,1,0,1,1
3630,3.6,2023,syc3sm,Working,3,Engineering - Systems Engineering,Male,School of Engineering & Applied Science,1,3,63,,0,1,0,0,1,1
