Q10.1_fds_2024,Number of Internships,How many internships (summer and/or academic year) did you have while attending the University of Virginia?_fds_2021,"If you participated in internships, how many internships did you have while attending the University of Virginia?_fds_2022",Primary Major,Recipient Primary Major_fds_2022,Recipient Primary Majors_fds_2021,First Gen,College_fds_2024,Career Readiness,Q5.4_fds_2024,Alignment,Q10.4_fds_2024,Q10.5_fds_2024,time of IPP,num_fairs,num_appointments,num_events_signed_up,num_events_checked_in,Internship Applications,Job Applications,On Campus Student Employment,Volunteer,Fellowship_application,Graduate School,Cooperative Education,Experiential Learning
,,,,,,,False,,,,,,,,10.0,,,,115.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
,,,,,,,False,,,,,,,,4.0,,1.0,0.0,16.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,Commerce - Finance,Commerce,False,,,,,,,,1.0,,13.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,Economics,,,,,,,,,1.0,,,,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,Engineering - Biomedical Engineering,True,,,,,,,,1.0,48.0,,,,,,,,,,
,,,,,English,,False,,,,,,,,1.0,462.0,4.0,4.0,,,,,,,,
,,,,,,Commerce,,,,,,,,,1.0,252.0,15.0,3.0,,,,,,,,
,,,,,,,False,,,,,,,,12.0,56.0,3.0,1.0,70.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,False,,,,,,,,1.0,,1.0,1.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,True,,,,,,,,1.0,24.0,,,4.0,6.0,50.0,0.0,0.0,0.0,0.0,0.0
,,,0,Data Science,Statistics,,True,,,,,,,,36.0,549.0,16.0,2.0,21.0,138.0,1.0,0.0,0.0,1.0,0.0,0.0
,,,,,,,False,,,,,,,,30.0,110.0,36.0,2.0,84.0,66.0,4.0,0.0,0.0,0.0,0.0,10.0
,,,,,,English,True,,,,,,,,1.0,351.0,3.0,0.0,10.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,False,,,,,,,,10.0,140.0,8.0,6.0,52.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
,1,,,Engineering - Systems Engineering,,,False,,,,,,,,4.0,,,,41.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,Economics,,,,,,,,,,,1.0,,,,,,,,,,,
,,,,Public Policy,,,,,,,,,,,8.0,40.0,10.0,2.0,6.0,72.0,10.0,0.0,0.0,0.0,0.0,0.0
,,,,,Commerce - Accounting,,False,,,,,,,,1.0,,36.0,0.0,,,,,,,,
,,,,Commerce,,,,,,,,,,,1.0,395.0,2.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,True,,,,,,,,1.0,,,,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0
,,,,,Biology,,False,,,,,,,,1.0,55.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
,,,,,,Computer Science - Interdisciplinary,,,,,,,,,1.0,,,,,,,,,,,
,,,,,,,,,,,,,,,3.0,,,,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
,2,,,Government,,,False,,,,,,,,1.0,84.0,,,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,Education - Kinesiology,,False,,,,,,,,1.0,50.0,1.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,True,,,,,,,,1.0,,,,,,,,,,,
,,,,,,,False,,,,,,,,2.0,200.0,28.0,12.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
2,,,,,,,False,College and Graduate School of Arts & Sciences,7.0,,6.0,6.0,7.0,,3.0,119.0,3.0,0.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,True,,,,,,,,1.0,,,,,,,,,,,
,,,,,,,False,,,,,,,,1.0,,,,,,,,,,,
,,,,,Commerce - Global Commerce,,,,,,,,,,1.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,Nursing,,True,,,,,,,,1.0,272.0,2.0,1.0,,,,,,,,
,,,,,,Education - Administration & Supervision,,,,,,,,,1.0,,,,,,,,,,,
3+,,,,,,,False,School of Architecture,9.0,Architecture,10.0,10.0,9.0,['AY 21-22'],1.0,5.0,5.0,3.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0
,,,,,,,False,College and Graduate School of Arts & Sciences,,,,,,,1.0,120.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,['Summer 22'],,,,,,,,,,,,
,,,2,,Architecture,,False,,,,,,,,1.0,,,,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,Commerce - Management,,False,,,,,,,,1.0,32.0,8.0,0.0,,,,,,,,
,,,,,,,,,,,,,,,1.0,560.0,,,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,Commerce,,,,,,,,,,,1.0,,2.0,2.0,,,,,,,,
,,,,,,,True,,,,,,,,1.0,21.0,,,,,,,,,,
,,,,Education - Kinesiology,,,,,,,,,,,2.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,False,,,,,,,,1.0,,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
,,,0,,Global Studies - Interdisciplinary,,False,,,,,,,,4.0,,3.0,1.0,1.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,Philosophy,,,,,,,,,1.0,,,,,,,,,,,
,,,,American Studies - Interdisciplinary,,,,,,,,,,['Fall 22'],1.0,,4.0,1.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,['Summer 22'],,,,,,,,,,,,
,,,,,Drama,,False,,,,,,,,6.0,238.0,1.0,1.0,79.0,58.0,3.0,0.0,0.0,0.0,0.0,0.0
,,,,Philosophy,,,False,,,,,,,,4.0,,6.0,6.0,76.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,Public Policy,,,False,,,,,,,,6.0,246.0,16.0,6.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,False,,,,,,,,20.0,,2.0,2.0,127.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
,2,,,Computer Science - Interdisciplinary,,,False,,,,,,,,6.0,,2.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,Nursing,,,,,,,,,,1.0,,,,,,,,,,,
,,,,,Engineering - Biomedical Engineering,,False,,,,,,,,1.0,189.0,,,,,,,,,,
,,,,,,Engineering - Biomedical Engineering,,,,,,,,,1.0,,,,,,,,,,,
,,,,Commerce,,,False,,,,,,,,6.0,,4.0,0.0,72.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,Foreign Affairs,,,,,,,,,1.0,259.0,,,,,,,,,,
,,,,,,Foreign Affairs,,,,,,,,,1.0,63.0,,,,,,,,,,
,,,0,,Education - Curriculum & Instruction,,False,,,,,,,,1.0,,,,,,,,,,,
,0,,,Engineering - Systems Engineering,,,,,,,,,,,1.0,,,,,,,,,,,
,,,,,,,,,,,,,,,1.0,,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
,,,,,Biological & Physical Sciences,,False,,,,,,,,1.0,40.0,,,,,,,,,,
,,,,,,Italian,,,,,,,,,1.0,144.0,,,,,,,,,,
